name,address,Latitude,Longitude
24시수타신짬뽕,경기도 안산시 상록구 이동 691-9,37.3072596,126.8458256
펀비어킹,경기도 안산시 상록구 이동 715-3,37.3083333,126.8509666
삼사오,경기도 안산시 상록구 이동 710-15,37.3091082,126.8501291
료엔,경기도 안산시 상록구 이동 715-8,37.3088769,126.8508072
명옥부대찌개,경기도 안산시 상록구 사동 1519-15,37.306273,126.8457346
피자헐,경기도 안산시 상록구 사동 1286-8,37.2965613,126.8475816
주미랑도토리마당,경기도 안산시 상록구 이동 657-4,37.3126416,126.8482229
박혜자낙지마당,경기도 안산시 상록구 사동 1185-15,37.3029538,126.8474378
마당닭칼국수,경기도 안산시 상록구 사동 1559-3,37.3022803,126.8377149
불로불러참숯바베큐치킨,경기도 안산시 상록구 이동 720,37.3064593,126.8488553
황토우렁마을쌈밥,경기도 안산시 상록구 사동 1558-3,37.3023842,126.8379344
두드림치킨,경기도 안산시 상록구 사동 1569-1,37.3008452,126.8382107
양푼이,경기도 안산시 상록구 이동 715-10,37.3093103,126.8512699
메밀촌,경기도 안산시 상록구 이동 659-1,37.3131608,126.8485139
올리브샌드위치,경기도 안산시 상록구 사동 1581-1,37.301676,126.8408723
보쌈마루,경기도 안산시 상록구 사동 1209-1,37.3029405,126.8527429
김민준피자,경기도 안산시 상록구 사동 1266-2,37.2988768,126.8580596
다미장어,경기도 안산시 상록구 이동 662,37.3118509,126.846324
